brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,price
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,4.0L,,Gray,Black,Yes,52500.0
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L,Automatic,Mountain Air Metallic,Black,Yes,20848.0
Hummer,H2 Base,2005,110900,Gasoline,6.0L,,Gray,Black,No,19500.0
Porsche,911 Carrera S,2013,39000,Gasoline,3.8L,,Blue,Black,No,73000.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,2.0L,,Black,Black,No,19800.0
Chrysler,300 Touring,2009,134602,Gasoline,3.5L,,Blue,Black,No,7500.0
Nissan,Rogue SV,2023,1094,Gasoline,1.5L,Automatic,Caspian Blue,Light Gray,No,30999.0
Audi,A3 2.0T,2010,83500,Gasoline,2.0L,,Silver,Black,No,6500.0
Ford,Mustang GT Premium,2014,37060,Gasoline,5.0L,,Black,Black,No,28500.0
Acura,RL Technology,2010,97700,Gasoline,3.7L,,Blue,Beige,No,10995.0
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,2.0L,,Black,Black,No,42000.0
Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L,Automatic,Tango Red Metallic,Black,No,144900.0
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,3.5L,,Black,Beige,Yes,10000.0
Toyota,C-HR LE,2021,13180,Gasoline,,,–,–,No,23998.0
Lexus,IS 350 Base,2014,104000,Gasoline,3.5L,,Black,Black,No,21000.0
BMW,X4 M40i,2023,8500,Hybrid,3.0L,,Gray,Beige,No,67900.0
BMW,M4 CS,2019,19069,Gasoline,,Automatic,Alpine White,Anthracite,No,69998.0
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,2.0L,,White,Beige,No,46900.0
Lucid,Air Grand Touring,2022,4900,,,,Red,Black,No,99000.0
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,2.0L,,Black,Black,No,31000.0
Chrysler,300C SRT8,2006,43000,Gasoline,6.1L,,Silver,Black,Yes,19995.0
Bentley,Continental GT W12,2017,14684,Gasoline,6.0L,,White,White,No,130000.0
BMW,M4 Base,2019,57800,Gasoline,3.0L,,Black,Red,No,55999.0
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,1.6L,,Silver,Gray,No,49950.0
Audi,RS 5 2.9T,2019,21240,Gasoline,2.9L,,Black,Black,Yes,59950.0
Porsche,Cayenne Base,2019,59338,Gasoline,3.0L,,Black,Black,No,42499.0
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,5.2L,Automatic,BLU ELEOS,Nero Ade,No,359991.0
Maserati,Quattroporte S,2019,23230,Gasoline,3.0L,,Black,Black,No,44999.0
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,3.0L,,Red,Black,Yes,30000.0
Lexus,ES 330 Base,2005,41059,Gasoline,3.3L,,White,Beige,No,11100.0
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,,Automatic,White,Black,No,37998.0
Porsche,Cayman GTS,2015,11500,Gasoline,3.4L,,Silver,–,No,72000.0
Genesis,G90 3.3T Premium,2021,9950,Gasoline,3.3L,,Silver,Blue,No,53950.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,2.0L,,White,Black,No,47999.0
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,2.4L,,White,Gray,Yes,15900.0
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,4.0L,,Gray,Black,Yes,45000.0
BMW,740 Li,2012,85252,Gasoline,3.0L,,Black,Black,No,18500.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,3.0L,,Black,Black,Yes,80000.0
BMW,M6 Base,2016,25500,Gasoline,4.4L,,White,Black,No,55000.0
Subaru,Forester 2.5 X,2004,210703,Gasoline,2.5L,,Green,Beige,Yes,2300.0
Hyundai,Elantra N Base,2023,3800,Gasoline,2.0L,,White,Black,No,34000.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6L,Automatic,Horizon Blue,Charcoal,No,31995.0
Rivian,R1S Adventure Package,2023,2800,,,,White,Green,No,92000.0
Aston,Martin DBS Superleggera,2021,2165,Gasoline,5.2L,Automatic,Black,Black,No,279950.0
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,2.0L,,Red,Black,Yes,29900.0
BMW,435 Gran Coupe i,2016,76009,Gasoline,3.0L,,White,Beige,No,24950.0
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L,Automatic,Granite Crystal Clearcoat Metallic,Black,No,39366.0
Lexus,RC 350 Base,2015,48000,Gasoline,3.5L,,Orange,Red,No,32900.0
BMW,525 i,2005,91420,Gasoline,2.5L,,Black,Black,No,8900.0
Toyota,Corolla LE,2003,124756,Gasoline,1.8L,,Beige,Beige,Yes,4995.0
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L,Automatic,Rift Metallic,Gray,No,104900.0
GMC,Acadia SLT-1,2012,116226,Gasoline,3.6L,,Black,Black,No,7900.0
Lexus,LC 500 Base,2020,37869,Gasoline,5.0L,Automatic,Atomic Silver,Rioja Red,No,75950.0
BMW,i8 Base,2019,41500,Plug-In Hybrid,1.5L,,White,Black,No,86000.0
Lexus,ES 300h Base,2013,87001,Hybrid,2.5L,,Gold,Beige,No,17995.0
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L,Automatic,Summit White,Jet Black,Yes,55655.0
BMW,540 i xDrive,2020,27158,Gasoline,,Automatic,Imperial Blue Metallic,Canberra Beige/Black,No,39998.0
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,4.3L,,White,Gray,Yes,14500.0
Jeep,Gladiator Rubicon,2022,27300,Gasoline,3.6L,,Green,Black,No,47500.0
BMW,Z4 sDrive28i,2014,36812,Gasoline,2.0L,,White,Beige,No,27000.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,3.0L,,Black,Black,Yes,18000.0
Cadillac,XT4 Sport,2019,44500,Gasoline,2.0L,,Blue,White,No,28900.0
BMW,750 750i xDrive,2021,10917,Gasoline,,Automatic,Black,Black,No,73998.0
Bentley,Arnage R,2005,8332,Gasoline,6.75L,,White,Beige,No,47350.0
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,,Automatic,Magnetic Gray Clearcoat,Roast,No,47698.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,5.5L,,Black,Brown,No,36500.0
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L,Automatic,Bright White Clearcoat,Black,No,32662.0
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,3.7L,,White,Black,Yes,6600.0
Audi,A5 2.0T Premium,2011,92203,Gasoline,2.0L,,Red,Beige,No,9995.0
Nissan,GT-R Premium,2010,15600,Gasoline,3.8L,,White,Black,No,69500.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,,Automatic,Fuji White,Ivory / Ebony,Yes,30775.0
Toyota,Corolla LE,2010,72348,Gasoline,1.8L,,Red,Gray,Yes,9995.0
Rivian,R1S Adventure Package,2023,2500,,,,Green,White,No,94000.0
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,,Automatic,White,Silk Beige/Black,No,44798.0
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,3.0L,,White,Red,Yes,23000.0
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L,Automatic,Summit White,Medium Pewter,No,22495.0
INFINITI,Q70h Base,2016,52750,Hybrid,3.5L,,White,Black,Yes,28998.0
Audi,A7 Premium Plus,2020,25361,Hybrid,,Automatic,Typhoon Gray,Black,No,49998.0
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,3.0L,,Black,Black,Yes,9995.0
Lucid,Air Pure,2023,1300,,,,Black,Gray,Yes,86900.0
Chrysler,Pacifica Touring,2017,87305,–,,,Silver,Black,No,9000.0
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,2.0L,,White,Black,Yes,25999.0
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,4.4L,,Black,Black,No,30000.0
Subaru,Forester Premium,2021,42125,Gasoline,2.5L,Automatic,Crystal Black Silica,Black,No,27899.0
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,4.0L,,Black,Black,No,40000.0
Land,Rover LR3 HSE,2006,153843,Gasoline,4.4L,,Red,Beige,Yes,9950.0
BMW,X7 xDrive40i,2019,35248,Gasoline,,Automatic,Arctic Gray Metallic,Black,No,53998.0
Ford,Transit Connect XLT,2015,194454,Gasoline,2.5L,,White,Black,No,9888.0
Lexus,LX 570 Three-Row,2021,21000,Gasoline,5.7L,,White,Black,No,89999.0
Porsche,911 Carrera S,2013,18494,Gasoline,3.8L,,Black,Black,Yes,86900.0
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,5.7L,,Red,Gray,No,12990.0
Nissan,Armada SL,2021,67800,Gasoline,5.6L,,Silver,Black,Yes,36500.0
Porsche,Cayman Base,2014,79000,Gasoline,2.7L,,Red,Black,Yes,42999.0
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,,Automatic,Selenite Grey Metallic,Black,No,63998.0
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,5.3L,,White,Gray,Yes,12000.0
BMW,M5 Base,2013,86000,Gasoline,4.4L,,Blue,White,No,32000.0
Hyundai,Kona N Base,2023,654,Gasoline,2.0L,Automatic,Ultra Black,Black,No,34599.0
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,3.8L,,Black,Black,No,12500.0
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,2.0L,,Beige,Black,Yes,22800.0
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,4.0L,,Gray,Gray,No,39999.0
GMC,Acadia SLT-1,2011,120000,Gasoline,3.6L,,Silver,Gray,No,7500.0
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,2.0L,Automatic,Lunare White Metallic,Ice,No,35645.0
Ferrari,FF Base,2016,19987,Gasoline,6.3L,,Black,Brown,No,149900.0
Kia,K900 5.0L,2017,36486,Gasoline,5.0L,,Black,Beige,Yes,23950.0
Ford,E150 XLT,2013,162100,E85 Flex Fuel,5.4L,,Black,Gray,No,12500.0
Tesla,Model 3 Performance,2022,13079,,,,Black,White,No,47000.0
Toyota,4Runner SR5,2022,28377,Gasoline,4.0L,Automatic,Silver,Gray,No,36999.0
Subaru,Forester Base,2020,32744,Gasoline,2.5L,,Black,Gray,No,24000.0
Porsche,Panamera 2,2012,54000,Gasoline,3.6L,,White,–,Yes,26000.0
Toyota,Tacoma PreRunner,2008,202055,Gasoline,4.0L,,Silver,Gray,Yes,8500.0
RAM,2500 Laramie,2019,65000,Diesel,6.7L,,Black,Black,No,65000.0
Kia,Sportage Nightfall,2022,9686,Gasoline,2.4L,Automatic,Hyper Red,Black,No,30990.0
Cadillac,DTS Base,2010,49620,Gasoline,4.6L,,White,Gray,No,10499.0
Toyota,Land Cruiser Base,1997,213000,Gasoline,4.5L,,White,Beige,No,26500.0
Nissan,GT-R Premium,2020,16010,Gasoline,3.8L,,White,Black,No,114000.0
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,,,Black,Black,No,51998.0
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,2.0L,,Blue,Black,No,36499.0
Lexus,LX 470 Base,1999,82000,Gasoline,4.7L,,White,Beige,No,25000.0
GMC,Terrain SLE,2022,27352,Gasoline,1.5L,Automatic,Summit White,Jet Black,No,27785.0
Ford,Escape Limited,2012,129000,Gasoline,2.5L,,White,Gray,Yes,7000.0
Lexus,LS 460 L,2014,106731,Gasoline,4.6L,,White,Beige,Yes,30000.0
Ford,Expedition Platinum,2019,34672,Gasoline,3.5L,,White,White,No,45500.0
Chevrolet,Malibu LTZ,2010,55900,Gasoline,3.6L,,Beige,Beige,No,8950.0
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,4.0L,Automatic,Daytona Gray Pearl Effect,Black / Express Red,No,128900.0
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,2.0L,,White,Brown,No,17000.0
Genesis,G70 2.0T,2023,4785,Gasoline,2.0L,Automatic,Vik Black,Obsidian Black,No,42850.0
Chevrolet,Trailblazer LS,2021,20497,Gasoline,1.3L,Automatic,Pacific Blue Metallic,Black,No,22999.0
Scion,tC Base,2013,177600,Gasoline,2.5L,,Silver,Black,Yes,7100.0
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,2.0L,,Blue,Beige,No,15500.0
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,3.7L,,White,Gray,No,43000.0
Porsche,911 GT2 RS,2018,4529,Gasoline,3.8L,Automatic,Black,Black,No,417500.0
Ford,Explorer Timberline,2021,25240,Gasoline,2.3L,Automatic,Gray,Ebony,Yes,39951.0
Volvo,XC90 3.2,2011,88300,Gasoline,3.2L,,Blue,Beige,Yes,11500.0
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,5.3L,,Silver,Black,Yes,27499.0
Audi,TT RS 2.5T,2018,20675,Gasoline,2.5L,,Gray,Gray,No,76000.0
Lincoln,Navigator L,2008,95000,Gasoline,5.4L,,Black,Black,No,10900.0
Hyundai,Elantra GLS,2010,107000,Gasoline,2.0L,,Blue,Blue,Yes,6250.0
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,3.0L,,Black,Black,Yes,24700.0
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,2.0L,,Black,Black,No,34999.0
Tesla,Model Y Performance,2023,500,,,,Black,White,No,60000.0
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,6.0L,,White,Beige,No,63500.0
Nissan,GT-R Premium,2017,37800,Gasoline,3.8L,,Orange,Orange,No,149500.0
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,Gasoline,,Automatic,Obsidian Black Metallic,Gray,No,44798.0
Chevrolet,Blazer Premier,2019,55621,Gasoline,3.6L,Automatic,Silver Ice Metallic,Jet Black,No,34562.0
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,2.5L,Automatic,Sonic Silver Metallic,Black,Yes,32541.0
Ford,Expedition Max Limited,2022,26500,Gasoline,3.5L,,White,Beige,No,65900.0
Nissan,Titan XD SV,2020,10001,Gasoline,5.6L,Automatic,Black,Black,No,47214.0
Lexus,LX 570 Three-Row,2019,19050,Gasoline,5.7L,,Black,Beige,No,76900.0
Chevrolet,Traverse Premier,2020,52000,Gasoline,3.6L,,White,Black,No,35800.0
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,3.0L,,Black,Black,Yes,54999.0
BMW,X5 3.0i,2004,140000,Gasoline,3.0L,,Black,Beige,No,6730.0
Ford,Fusion SE,2018,75600,Gasoline,1.5L,,Blue,Black,Yes,14950.0
Lincoln,MKZ Base,2015,117292,Gasoline,2.0L,,Beige,Beige,No,12000.0
Ford,GT,2005,1897,Gasoline,,Manual,White,–,No,429998.0
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,5.0L,,White,Beige,No,33600.0
Lexus,LC 500 Base,2022,2071,Gasoline,5.0L,Automatic,Nightfall Mica,Caramel,No,99950.0
Ford,Shelby GT500 Base,2014,15629,Gasoline,5.8L,Manual,Black,Black,No,61900.0
Saturn,Sky Base,2008,15020,Gasoline,2.4L,,Silver,Red,No,18500.0
Audi,RS Q8 4.0T quattro,2022,11322,Gasoline,4.0L,Automatic,Daytona Gray Pearl Effect,Black / Express Red,No,119900.0
Toyota,Land Cruiser,2016,50361,Gasoline,,Automatic,Silver,Black,No,65998.0
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,4.6L,,Black,Black,Yes,36000.0
Porsche,911 Carrera C2S,2005,28500,Gasoline,3.8L,,Silver,Black,No,63500.0
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700,Gasoline,2.0L,,White,Black,No,32000.0
Ford,Taurus X Limited,2008,148949,Gasoline,3.5L,,Blue,Beige,No,3900.0
BMW,440 Gran Coupe i,2018,39300,Gasoline,3.0L,,White,Beige,Yes,31750.0
Honda,S2000 CR,2008,82323,Gasoline,2.2L,,Black,Black,No,28500.0
Acura,Integra w/A-Spec Tech Package,2023,3574,Gasoline,,,Apex Blue,Orchid,No,34998.0
Ford,Excursion Limited,2001,109357,Gasoline,6.8L,,Green,Beige,No,12749.0
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,Gasoline,5.0L,,White,Gray,No,18853.0
Mercedes-Benz,CLS-Class CLS 550,2007,123112,Gasoline,5.5L,,Silver,Black,Yes,104999.0
INFINITI,G35 Sport,2007,37100,Gasoline,3.5L,,Gray,Black,No,16900.0
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000,Gasoline,2.0L,,Silver,Black,No,14500.0
Dodge,Challenger R/T Scat Pack,2022,1240,Gasoline,6.4L,Automatic,Go Mango!,Black,No,53900.0
Lincoln,Navigator L Reserve,2019,67073,Gasoline,3.5L,,Black,Black,Yes,47999.0
Maserati,Ghibli S Q4,2015,28700,Gasoline,3.0L,,White,Red,Yes,24900.0
Tesla,Model X Base,2023,8200,,,,Black,Black,No,93999.0
Mercedes-Benz,AMG G 63 Base,2018,41000,Gasoline,5.5L,,Gray,Black,No,108900.0
Ford,Expedition Limited,2018,98995,Gasoline,,Automatic,Ingot Silver Metallic,Ebony,No,34998.0
Volkswagen,Routan SE,2012,123815,Gasoline,3.6L,,Black,Gray,No,5000.0
Bugatti,Veyron 16.4 Grand Sport,2011,6330,Gasoline,8.0L,Automatic,White,White,No,1950995.0
Toyota,Highlander XLE,2020,61341,Gasoline,3.5L,Automatic,Midnight Black Metallic,Black,Yes,34084.0
Honda,Civic LX,2016,96473,Gasoline,2.0L,Automatic,Black,Black,No,15599.0
Jeep,Wrangler Unlimited Sahara,2017,66107,Gasoline,3.6L,Automatic,Black Clearcoat,Black,No,31331.0
Land,Rover Range Rover Supercharged,2008,114287,Gasoline,4.2L,,Black,Black,No,9900.0
Acura,ILX 2.0L w/Premium Package,2015,75000,Gasoline,2.0L,,Gold,Beige,No,14500.0
BMW,M6 Base,2016,45800,Gasoline,4.4L,,Gold,Black,Yes,36800.0
Polestar,2 Launch Edition,2021,12172,,,Automatic,Thunder Gray,Charcoal,No,35999.0
BMW,X6 sDrive35i,2016,70582,Gasoline,3.0L,,Black,White,Yes,35000.0
Porsche,Cayman S,2014,33088,Gasoline,3.4L,,Black,Black,No,49750.0
Lincoln,Corsair Grand Touring,2021,1850,Plug-In Hybrid,2.5L,,Silver,Beige,No,49000.0
Cadillac,DTS Luxury II,2008,94155,Gasoline,4.6L,,White,Beige,No,10500.0
Cadillac,ATS 3.6L Luxury,2016,25000,Gasoline,3.6L,,Red,Beige,No,17999.0
GMC,Sierra 1500 SLT,2016,99500,Gasoline,5.3L,,Gray,Black,No,27995.0
INFINITI,G37 x,2009,158564,Gasoline,3.7L,,Blue,Beige,No,8750.0
Ford,Transit-350 XLT,2023,20000,Gasoline,3.5L,,Black,Black,No,78499.0
Cadillac,XTS Luxury,2018,46711,Gasoline,3.6L,,Silver,Black,Yes,20850.0
Nissan,NV Passenger NV3500 HD SL V8,2017,46496,Gasoline,5.6L,,Black,Gray,No,41000.0
Mercedes-Benz,GLS 450 Base 4MATIC,2019,19800,Gasoline,3.0L,,Silver,Black,No,53800.0
Toyota,Land Cruiser Base,2008,175000,Gasoline,5.7L,,Black,Beige,Yes,37900.0
Toyota,Land Cruiser Base,2016,61500,Gasoline,5.7L,,White,Black,No,63500.0
RAM,ProMaster 2500 Window Van High Roof,2016,49750,Gasoline,3.6L,,Black,Gray,No,65000.0
Lamborghini,Gallardo Base,2007,38800,Gasoline,5.0L,,Orange,Orange,No,100000.0
Lincoln,MKZ Base,2011,83765,Gasoline,3.5L,,Black,Black,No,8995.0
Mercedes-Benz,EQS 450 4MATIC,2023,7388,,,,Gray,Beige,No,105500.0
Lamborghini,Huracan Tecnica Coupe,2023,278,Gasoline,5.2L,Automatic,Bianco Monocerus,Nero Ade,No,359991.0
Alfa,Romeo Giulia Quadrifoglio,2022,1966,Gasoline,2.9L,Automatic,Verde,Black,No,75900.0
Chevrolet,Trailblazer LT,2021,50648,Gasoline,1.2L,Automatic,Pacific Blue Metallic,Jet Black,No,23995.0
Toyota,Land Cruiser Base,1993,231500,–,,,White,Gray,No,29500.0
Lamborghini,Urus Base,2021,13692,Gasoline,4.0L,,Black,Red,No,257000.0
INFINITI,G37 x,2013,60058,Gasoline,3.7L,,White,Beige,Yes,15000.0
Maserati,Levante S,2017,54423,Gasoline,3.0L,,Black,Black,No,33950.0
Toyota,Highlander Limited,2022,24001,Gasoline,3.5L,Automatic,Wind Chill Pearl,Graphite,No,47498.0
Nissan,Armada SL,2022,14735,Gasoline,,Automatic,White,Black,No,50998.0
Audi,Q5 Premium,2023,2425,Hybrid,,Automatic,Mythos Black,–,No,42998.0
Ford,Shelby GT500 Base,2022,2050,Gasoline,5.2L,,Gray,Black,No,94999.0
Lincoln,Navigator L Reserve,2019,64855,Gasoline,3.5L,,Silver,Beige,No,46995.0
Mercedes-Benz,EQS 450+ Base,2022,16238,,,,White,Beige,No,62479.0
RAM,1500 Laramie,2022,18051,Gasoline,5.7L,Automatic,Patriot Blue Pearlcoat,Black,No,47995.0
Lincoln,Town Car Base,2004,36524,Gasoline,4.6L,,Black,Black,No,14900.0
Acura,TLX w/A-Spec Package,2022,14896,Gasoline,,,Lunar Silver Metallic,Ebony,No,39998.0
Toyota,Camry Hybrid LE,2022,14048,Hybrid,2.5L,Automatic,Black,Black,No,29999.0
Honda,CR-V EX,2003,224000,Gasoline,2.4L,,Black,Gray,No,3900.0
Mercedes-Benz,E-Class E 550,2014,80581,Gasoline,4.7L,,Gray,Beige,No,26000.0
Mazda,MX-5 Miata Grand Touring,2007,81400,Gasoline,2.0L,,Red,–,Yes,11000.0
Porsche,718 Boxster Base,2019,6700,Gasoline,2.0L,,Gray,Black,No,63000.0
Ford,Transit-350 XLT,2015,143000,Gasoline,3.7L,,Silver,Gray,No,22500.0
Kia,Sportage SX Turbo,2017,87842,Gasoline,2.0L,Automatic,Black Cherry,Black,No,18688.0
INFINITI,G37 S Sport,2010,116451,Gasoline,3.7L,,White,Gray,No,16500.0
Nissan,Titan XD S,2019,53677,Gasoline,5.6L,,Red,Gray,No,27900.0
Audi,S7 2.9T Prestige,2021,12000,Hybrid,2.9L,,Gray,Black,No,77500.0
Land,Rover Discovery HSE,2019,20034,Gasoline,,Automatic,Yulong White,Tan/Ebony,No,43998.0
Ford,Transit-350 XLT,2020,32000,Diesel,2.0L,,Black,Black,No,68000.0
