brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,price
bmw,i3 120ah w/range extender,2020,35035,hybrid,3.5l,automatic,black,black,No,24998
kia,sorento sx,2011,171000,gasoline,3.5l,manual,black,black,No,5999
lexus,lx 570 base,2016,118700,gasoline,5.7l,manual,black,beige,No,46900
jeep,new compass trailhawk,2017,119000,gasoline,2.4l,manual,red,black,No,15900
bmw,340 i,2018,44261,gasoline,3.5l,automatic,gray,black,No,33598
audi,a4 2.0t premium plus quattro,2012,125575,gasoline,2.0l,manual,silver,black,No,8999
hyundai,tucson se,2007,16200,gasoline,2.7l,manual,gold,beige,No,8200
bmw,z4 sdrive28i,2014,70000,gasoline,2.0l,manual,white,beige,Yes,20000
bentley,continental gtc base,2011,20200,e85 flex fuel,6.0l,manual,black,black,No,79950
honda,passport elite,2023,2978,gasoline,3.5l,automatic,lunar silver metallic,gray,No,45498
dodge,sprinter 2500,2007,189719,diesel,3.0l,manual,white,gray,Yes,14000
bmw,m850 i xdrive,2019,9949,gasoline,3.5l,automatic,blue,black,No,75798
audi,a7 premium,2012,54000,gasoline,3.0l,manual,black,brown,Yes,36880
chevrolet,silverado 1500 custom trail boss,2021,51351,gasoline,5.3l,automatic,black,jet black,No,43147
mini,convertible john cooper works,2017,24280,gasoline,2.0l,manual,black,black,Yes,29000
toyota,avalon touring,2016,89148,gasoline,3.5l,manual,black,black,No,17500
porsche,cayenne platinum edition,2017,73043,gasoline,3.6l,manual,white,black,No,30990
mercedes-benz,amg c 63 s,2017,60000,gasoline,4.0l,manual,gray,black,Yes,52500
honda,cr-v ex-l,2016,73549,gasoline,2.4l,automatic,mountain air metallic,black,Yes,20848
hummer,h2 base,2005,110900,gasoline,6.0l,manual,gray,black,No,19500
porsche,911 carrera s,2013,39000,gasoline,3.8l,manual,blue,black,No,73000
mercedes-benz,cla-class cla 250,2016,120000,gasoline,2.0l,manual,black,black,No,19800
chrysler,300 touring,2009,134602,gasoline,3.5l,manual,blue,black,No,7500
nissan,rogue sv,2023,1094,gasoline,1.5l,automatic,caspian blue,light gray,No,30999
audi,a3 2.0t,2010,83500,gasoline,2.0l,manual,silver,black,No,6500
ford,mustang gt premium,2014,37060,gasoline,5.0l,manual,black,black,No,28500
acura,rl technology,2010,97700,gasoline,3.7l,manual,blue,beige,No,10995
volvo,xc90 hybrid t8 r-design,2018,40000,plug-in hybrid,2.0l,manual,black,black,No,42000
mercedes-benz,glk-class glk 350,2014,186000,gasoline,3.5l,manual,black,beige,Yes,10000
toyota,c-hr le,2021,13180,gasoline,3.5l,manual,black,black,No,23998
lexus,is 350 base,2014,104000,gasoline,3.5l,manual,black,black,No,21000
bmw,x4 m40i,2023,8500,hybrid,3.0l,manual,gray,beige,No,67900
bmw,m4 cs,2019,19069,gasoline,3.5l,automatic,alpine white,anthracite,No,69998
cadillac,ct5 premium luxury,2023,6090,gasoline,2.0l,manual,white,beige,No,46900
audi,a5 2.0t premium plus,2019,47523,gasoline,2.0l,manual,black,black,No,31000
chrysler,300c srt8,2006,43000,gasoline,6.1l,manual,silver,black,Yes,19995
bmw,m4 base,2019,57800,gasoline,3.0l,manual,black,red,No,55999
toyota,gr corolla circuit edition,2023,952,gasoline,1.6l,manual,silver,gray,No,49950
audi,rs 5 2.9t,2019,21240,gasoline,2.9l,manual,black,black,Yes,59950
porsche,cayenne base,2019,59338,gasoline,3.0l,manual,black,black,No,42499
maserati,quattroporte s,2019,23230,gasoline,3.0l,manual,black,black,No,44999
jaguar,xf 35t r-sport,2017,48000,gasoline,3.0l,manual,red,black,Yes,30000
lexus,es 330 base,2005,41059,gasoline,3.3l,manual,white,beige,No,11100
land,rover discovery sport se r-dynamic,2020,21240,gasoline,3.5l,automatic,white,black,No,37998
porsche,cayman gts,2015,11500,gasoline,3.4l,manual,silver,black,No,72000
genesis,g90 3.3t premium,2021,9950,gasoline,3.3l,manual,silver,blue,No,53950
volkswagen,golf r 20th anniversary edition,2023,633,gasoline,2.0l,manual,white,black,No,47999
hyundai,sonata hybrid limited,2015,66000,hybrid,2.4l,manual,white,gray,Yes,15900
audi,rs 7 4.0t prestige,2014,59715,gasoline,4.0l,manual,gray,black,Yes,45000
bmw,740 li,2012,85252,gasoline,3.0l,manual,black,black,No,18500
mercedes-benz,gls 450 base 4matic,2020,17900,hybrid,3.0l,manual,black,black,Yes,80000
bmw,m6 base,2016,25500,gasoline,4.4l,manual,white,black,No,55000
hyundai,elantra n base,2023,3800,gasoline,2.0l,manual,white,black,No,34000
kia,niro plug-in hybrid ex premium,2022,36602,hybrid,1.6l,automatic,horizon blue,charcoal,No,31995
mercedes-benz,slc 300 base,2018,33000,gasoline,2.0l,manual,red,black,Yes,29900
bmw,435 gran coupe i,2016,76009,gasoline,3.0l,manual,white,beige,No,24950
jeep,grand cherokee summit,2020,31349,gasoline,5.7l,automatic,granite crystal clearcoat metallic,black,No,39366
lexus,rc 350 base,2015,48000,gasoline,3.5l,manual,orange,red,No,32900
bmw,525 i,2005,91420,gasoline,2.5l,manual,black,black,No,8900
toyota,corolla le,2003,124756,gasoline,1.8l,manual,beige,beige,Yes,4995
gmc,acadia slt-1,2012,116226,gasoline,3.6l,manual,black,black,No,7900
lexus,lc 500 base,2020,37869,gasoline,5.0l,automatic,atomic silver,rioja red,No,75950
bmw,i8 base,2019,41500,plug-in hybrid,1.5l,manual,white,black,No,86000
lexus,es 300h base,2013,87001,hybrid,2.5l,manual,gold,beige,No,17995
cadillac,ct5-v v-series,2022,4451,gasoline,3.0l,automatic,summit white,jet black,Yes,55655
bmw,540 i xdrive,2020,27158,gasoline,3.5l,automatic,imperial blue metallic,canberra beige/black,No,39998
chevrolet,express 1500 work van,2014,139804,gasoline,4.3l,manual,white,gray,Yes,14500
jeep,gladiator rubicon,2022,27300,gasoline,3.6l,manual,green,black,No,47500
bmw,z4 sdrive28i,2014,36812,gasoline,2.0l,manual,white,beige,No,27000
land,rover lr4 hse lux landmark edition,2016,144000,gasoline,3.0l,manual,black,black,Yes,18000
cadillac,xt4 sport,2019,44500,gasoline,2.0l,manual,blue,white,No,28900
bmw,750 750i xdrive,2021,10917,gasoline,3.5l,automatic,black,black,No,73998
bentley,arnage r,2005,8332,gasoline,6.75l,manual,white,beige,No,47350
lincoln,aviator reserve awd,2020,51247,gasoline,3.5l,automatic,magnetic gray clearcoat,roast,No,47698
mercedes-benz,amg gl amg gl 63 4matic,2016,69000,gasoline,5.5l,manual,black,brown,No,36500
ram,promaster 3500 high roof,2021,147834,gasoline,3.6l,automatic,bright white clearcoat,black,No,32662
ford,utility police interceptor base,2013,105000,e85 flex fuel,3.7l,manual,white,black,Yes,6600
audi,a5 2.0t premium,2011,92203,gasoline,2.0l,manual,red,beige,No,9995
nissan,gt-r premium,2010,15600,gasoline,3.8l,manual,white,black,No,69500
land,rover range rover sport 3.0l supercharged hse,2018,104700,gasoline,3.5l,automatic,fuji white,ivory / ebony,Yes,30775
toyota,corolla le,2010,72348,gasoline,1.8l,manual,red,gray,Yes,9995
mercedes-benz,c-class c300 4matic,2022,13177,gasoline,3.5l,automatic,white,silk beige/black,No,44798
porsche,cayenne e-hybrid s,2016,96000,plug-in hybrid,3.0l,manual,white,red,Yes,23000
chevrolet,express 1500 work van,2011,93009,e85 flex fuel,5.3l,automatic,summit white,medium pewter,No,22495
infiniti,q70h base,2016,52750,hybrid,3.5l,manual,white,black,Yes,28998
audi,a7 premium plus,2020,25361,hybrid,3.5l,automatic,typhoon gray,black,No,49998
audi,q7 3.0t premium plus,2015,98527,gasoline,3.0l,manual,black,black,Yes,9995
lucid,air pure,2023,1300,electric,3.5l,manual,black,gray,Yes,86900
chrysler,pacifica touring,2017,87305,black,3.5l,manual,silver,black,No,9000
audi,tts 2.0t premium plus,2012,72922,gasoline,2.0l,manual,white,black,Yes,25999
bmw,650 gran coupe i xdrive,2015,41000,gasoline,4.4l,manual,black,black,No,30000
subaru,forester premium,2021,42125,gasoline,2.5l,automatic,crystal black silica,black,No,27899
mercedes-benz,amg c amg c 63,2016,62000,gasoline,4.0l,manual,black,black,No,40000
land,rover lr3 hse,2006,153843,gasoline,4.4l,manual,red,beige,Yes,9950
bmw,x7 xdrive40i,2019,35248,gasoline,3.5l,automatic,arctic gray metallic,black,No,53998
ford,transit connect xlt,2015,194454,gasoline,2.5l,manual,white,black,No,9888
porsche,911 carrera s,2013,18494,gasoline,3.8l,manual,black,black,Yes,86900
nissan,armada sl,2021,67800,gasoline,5.6l,manual,silver,black,Yes,36500
porsche,cayman base,2014,79000,gasoline,2.7l,manual,red,black,Yes,42999
mercedes-benz,gle 450 gle 450,2022,24906,hybrid,3.5l,automatic,selenite grey metallic,black,No,63998
chevrolet,monte carlo ss,2006,66840,gasoline,5.3l,manual,white,gray,Yes,12000
bmw,m5 base,2013,86000,gasoline,4.4l,manual,blue,white,No,32000
hyundai,kona n base,2023,654,gasoline,2.0l,automatic,ultra black,black,No,34599
chevrolet,monte carlo ss,2005,75000,gasoline,3.8l,manual,black,black,No,12500
land,rover range rover evoque pure,2015,84000,gasoline,2.0l,manual,beige,black,Yes,22800
audi,s7 4.0t premium plus,2017,52500,gasoline,4.0l,manual,gray,gray,No,39999
gmc,acadia slt-1,2011,120000,gasoline,3.6l,manual,silver,gray,No,7500
alfa,romeo stelvio ti sport,2020,18665,gasoline,2.0l,automatic,lunare white metallic,ice,No,35645
kia,k900 5.0l,2017,36486,gasoline,5.0l,manual,black,beige,Yes,23950
ford,e150 xlt,2013,162100,e85 flex fuel,5.4l,manual,black,gray,No,12500
tesla,model 3 performance,2022,13079,electric,3.5l,manual,black,white,No,47000
toyota,4runner sr5,2022,28377,gasoline,4.0l,automatic,silver,gray,No,36999
subaru,forester base,2020,32744,gasoline,2.5l,manual,black,gray,No,24000
porsche,panamera 2,2012,54000,gasoline,3.6l,manual,white,black,Yes,26000
ram,2500 laramie,2019,65000,diesel,6.7l,manual,black,black,No,65000
kia,sportage nightfall,2022,9686,gasoline,2.4l,automatic,hyper red,black,No,30990
cadillac,dts base,2010,49620,gasoline,4.6l,manual,white,gray,No,10499
lexus,nx 350 f sport handling,2023,820,gasoline,3.5l,manual,black,black,No,51998
audi,q7 45 premium plus,2021,68000,gasoline,2.0l,manual,blue,black,No,36499
lexus,lx 470 base,1999,82000,gasoline,4.7l,manual,white,beige,No,25000
gmc,terrain sle,2022,27352,gasoline,1.5l,automatic,summit white,jet black,No,27785
ford,escape limited,2012,129000,gasoline,2.5l,manual,white,gray,Yes,7000
lexus,ls 460 l,2014,106731,gasoline,4.6l,manual,white,beige,Yes,30000
ford,expedition platinum,2019,34672,gasoline,3.5l,manual,white,white,No,45500
chevrolet,malibu ltz,2010,55900,gasoline,3.6l,manual,beige,beige,No,8950
audi,a5 2.0t premium plus,2015,82000,gasoline,2.0l,manual,white,brown,No,17000
genesis,g70 2.0t,2023,4785,gasoline,2.0l,automatic,vik black,obsidian black,No,42850
chevrolet,trailblazer ls,2021,20497,gasoline,1.3l,automatic,pacific blue metallic,black,No,22999
scion,tc base,2013,177600,gasoline,2.5l,manual,silver,black,Yes,7100
lincoln,mkz hybrid base,2014,78568,hybrid,2.0l,manual,blue,beige,No,15500
ford,transit-350 xl,2018,95000,e85 flex fuel,3.7l,manual,white,gray,No,43000
ford,explorer timberline,2021,25240,gasoline,2.3l,automatic,gray,ebony,Yes,39951
volvo,xc90 3.2,2011,88300,gasoline,3.2l,manual,blue,beige,Yes,11500
chevrolet,avalanche ltz,2013,98000,e85 flex fuel,5.3l,manual,silver,black,Yes,27499
audi,tt rs 2.5t,2018,20675,gasoline,2.5l,manual,gray,gray,No,76000
lincoln,navigator l,2008,95000,gasoline,5.4l,manual,black,black,No,10900
hyundai,elantra gls,2010,107000,gasoline,2.0l,manual,blue,blue,Yes,6250
audi,sq5 3.0t premium plus,2016,60000,gasoline,3.0l,manual,black,black,Yes,24700
mitsubishi,lancer evolution gsr,2012,33000,gasoline,2.0l,manual,black,black,No,34999
tesla,model y performance,2023,500,electric,3.5l,manual,black,white,No,60000
mercedes-benz,maybach s s 600,2016,108500,gasoline,6.0l,manual,white,beige,No,63500
mercedes-benz,gls 550 base 4matic,2018,74422,gasoline,3.5l,automatic,obsidian black metallic,gray,No,44798
chevrolet,blazer premier,2019,55621,gasoline,3.6l,automatic,silver ice metallic,jet black,No,34562
mazda,cx-9 grand touring,2021,46707,gasoline,2.5l,automatic,sonic silver metallic,black,Yes,32541
ford,expedition max limited,2022,26500,gasoline,3.5l,manual,white,beige,No,65900
nissan,titan xd sv,2020,10001,gasoline,5.6l,automatic,black,black,No,47214
lexus,lx 570 three-row,2019,19050,gasoline,5.7l,manual,black,beige,No,76900
chevrolet,traverse premier,2020,52000,gasoline,3.6l,manual,white,black,No,35800
mercedes-benz,sprinter high roof,2014,65000,diesel,3.0l,manual,black,black,Yes,54999
bmw,x5 3.0i,2004,140000,gasoline,3.0l,manual,black,beige,No,6730
ford,fusion se,2018,75600,gasoline,1.5l,manual,blue,black,Yes,14950
lincoln,mkz base,2015,117292,gasoline,2.0l,manual,beige,beige,No,12000
genesis,g90 5.0 ultimate,2017,26000,gasoline,5.0l,manual,white,beige,No,33600
ford,shelby gt500 base,2014,15629,gasoline,5.8l,manual,black,black,No,61900
saturn,sky base,2008,15020,gasoline,2.4l,manual,silver,red,No,18500
toyota,land cruiser,2016,50361,gasoline,3.5l,automatic,silver,black,No,65998
mercedes-benz,sl-class sl 550,2013,115000,gasoline,4.6l,manual,black,black,Yes,36000
porsche,911 carrera c2s,2005,28500,gasoline,3.8l,manual,silver,black,No,63500
mercedes-benz,amg gla 45 base 4matic,2018,51700,gasoline,2.0l,manual,white,black,No,32000
ford,taurus x limited,2008,148949,gasoline,3.5l,manual,blue,beige,No,3900
bmw,440 gran coupe i,2018,39300,gasoline,3.0l,manual,white,beige,Yes,31750
honda,s2000 cr,2008,82323,gasoline,2.2l,manual,black,black,No,28500
acura,integra w/a-spec tech package,2023,3574,gasoline,3.5l,manual,apex blue,orchid,No,34998
ford,excursion limited,2001,109357,gasoline,6.8l,manual,green,beige,No,12749
mercedes-benz,sl-class sl500 roadster,2004,46000,gasoline,5.0l,manual,white,gray,No,18853
infiniti,g35 sport,2007,37100,gasoline,3.5l,manual,gray,black,No,16900
volkswagen,golf gti 2.0t s 4-door,2016,89000,gasoline,2.0l,manual,silver,black,No,14500
dodge,challenger r/t scat pack,2022,1240,gasoline,6.4l,automatic,go mango!,black,No,53900
lincoln,navigator l reserve,2019,67073,gasoline,3.5l,manual,black,black,Yes,47999
maserati,ghibli s q4,2015,28700,gasoline,3.0l,manual,white,red,Yes,24900
ford,expedition limited,2018,98995,gasoline,3.5l,automatic,ingot silver metallic,ebony,No,34998
volkswagen,routan se,2012,123815,gasoline,3.6l,manual,black,gray,No,5000
toyota,highlander xle,2020,61341,gasoline,3.5l,automatic,midnight black metallic,black,Yes,34084
honda,civic lx,2016,96473,gasoline,2.0l,automatic,black,black,No,15599
jeep,wrangler unlimited sahara,2017,66107,gasoline,3.6l,automatic,black clearcoat,black,No,31331
land,rover range rover supercharged,2008,114287,gasoline,4.2l,manual,black,black,No,9900
acura,ilx 2.0l w/premium package,2015,75000,gasoline,2.0l,manual,gold,beige,No,14500
bmw,m6 base,2016,45800,gasoline,4.4l,manual,gold,black,Yes,36800
polestar,2 launch edition,2021,12172,electric,3.5l,automatic,thunder gray,charcoal,No,35999
bmw,x6 sdrive35i,2016,70582,gasoline,3.0l,manual,black,white,Yes,35000
porsche,cayman s,2014,33088,gasoline,3.4l,manual,black,black,No,49750
lincoln,corsair grand touring,2021,1850,plug-in hybrid,2.5l,manual,silver,beige,No,49000
cadillac,dts luxury ii,2008,94155,gasoline,4.6l,manual,white,beige,No,10500
cadillac,ats 3.6l luxury,2016,25000,gasoline,3.6l,manual,red,beige,No,17999
gmc,sierra 1500 slt,2016,99500,gasoline,5.3l,manual,gray,black,No,27995
infiniti,g37 x,2009,158564,gasoline,3.7l,manual,blue,beige,No,8750
ford,transit-350 xlt,2023,20000,gasoline,3.5l,manual,black,black,No,78499
cadillac,xts luxury,2018,46711,gasoline,3.6l,manual,silver,black,Yes,20850
nissan,nv passenger nv3500 hd sl v8,2017,46496,gasoline,5.6l,manual,black,gray,No,41000
mercedes-benz,gls 450 base 4matic,2019,19800,gasoline,3.0l,manual,silver,black,No,53800
toyota,land cruiser base,2008,175000,gasoline,5.7l,manual,black,beige,Yes,37900
toyota,land cruiser base,2016,61500,gasoline,5.7l,manual,white,black,No,63500
ram,promaster 2500 window van high roof,2016,49750,gasoline,3.6l,manual,black,gray,No,65000
lincoln,mkz base,2011,83765,gasoline,3.5l,manual,black,black,No,8995
alfa,romeo giulia quadrifoglio,2022,1966,gasoline,2.9l,automatic,verde,black,No,75900
chevrolet,trailblazer lt,2021,50648,gasoline,1.2l,automatic,pacific blue metallic,jet black,No,23995
infiniti,g37 x,2013,60058,gasoline,3.7l,manual,white,beige,Yes,15000
maserati,levante s,2017,54423,gasoline,3.0l,manual,black,black,No,33950
toyota,highlander limited,2022,24001,gasoline,3.5l,automatic,wind chill pearl,graphite,No,47498
nissan,armada sl,2022,14735,gasoline,3.5l,automatic,white,black,No,50998
audi,q5 premium,2023,2425,hybrid,3.5l,automatic,mythos black,black,No,42998
lincoln,navigator l reserve,2019,64855,gasoline,3.5l,manual,silver,beige,No,46995
mercedes-benz,eqs 450+ base,2022,16238,electric,3.5l,manual,white,beige,No,62479
ram,1500 laramie,2022,18051,gasoline,5.7l,automatic,patriot blue pearlcoat,black,No,47995
lincoln,town car base,2004,36524,gasoline,4.6l,manual,black,black,No,14900
acura,tlx w/a-spec package,2022,14896,gasoline,3.5l,manual,lunar silver metallic,ebony,No,39998
toyota,camry hybrid le,2022,14048,hybrid,2.5l,automatic,black,black,No,29999
mercedes-benz,e-class e 550,2014,80581,gasoline,4.7l,manual,gray,beige,No,26000
mazda,mx-5 miata grand touring,2007,81400,gasoline,2.0l,manual,red,black,Yes,11000
porsche,718 boxster base,2019,6700,gasoline,2.0l,manual,gray,black,No,63000
ford,transit-350 xlt,2015,143000,gasoline,3.7l,manual,silver,gray,No,22500
kia,sportage sx turbo,2017,87842,gasoline,2.0l,automatic,black cherry,black,No,18688
infiniti,g37 s sport,2010,116451,gasoline,3.7l,manual,white,gray,No,16500
nissan,titan xd s,2019,53677,gasoline,5.6l,manual,red,gray,No,27900
audi,s7 2.9t prestige,2021,12000,hybrid,2.9l,manual,gray,black,No,77500
land,rover discovery hse,2019,20034,gasoline,3.5l,automatic,yulong white,tan/ebony,No,43998
ford,transit-350 xlt,2020,32000,diesel,2.0l,manual,black,black,No,68000
infiniti,q70 3.7,2014,70312,gasoline,3.7l,manual,black,black,No,19995
jeep,gladiator rubicon,2022,8794,gasoline,3.6l,manual,white,black,No,54000
lincoln,mkx base,2010,156000,gasoline,3.5l,manual,black,black,Yes,5900
mercedes-benz,amg c 43 base 4matic,2018,67100,gasoline,3.0l,manual,gray,black,Yes,34250
porsche,cayman base,2014,52000,gasoline,2.7l,manual,blue,beige,Yes,37000
acura,mdx 3.7l advance,2011,137200,gasoline,3.7l,manual,white,gray,No,12000
volkswagen,golf r 4-door w/dcc & navigation,2018,36000,gasoline,2.0l,manual,white,black,Yes,32000
kia,forte gt-line,2023,15500,gasoline,2.0l,manual,white,black,Yes,24500
lincoln,mkc select,2019,49814,gasoline,2.0l,automatic,ruby red metallic tinted clearcoat,cappuccino,No,26545
bmw,i8 base,2015,846,plug-in hybrid,1.5l,manual,white,white,No,86999
toyota,highlander xle,2021,67039,gasoline,3.5l,automatic,blue,black,No,34645
mazda,cx-30 premium package,2023,2636,gasoline,2.5l,automatic,platinum quartz metallic,black,No,28535
porsche,cayenne platinum edition,2018,50166,gasoline,3.6l,automatic,white,black,Yes,43550
lincoln,mkz reserve,2017,37375,gasoline,3.0l,manual,blue,brown,No,27500
tesla,model 3 standard range plus,2021,21600,electric,3.5l,manual,white,black,No,31000
porsche,718 cayman s,2019,9500,gasoline,2.5l,manual,red,black,Yes,69000
chevrolet,corvette base,2005,143095,gasoline,6.0l,manual,red,black,No,16000
acura,rsx type s,2002,80000,gasoline,2.0l,manual,beige,beige,Yes,8500
porsche,cayman s,2007,5856,gasoline,3.4l,manual,black,black,No,45000
audi,sq7 4.0t,2022,28927,gasoline,4.0l,automatic,matador red metallic,black,No,74900
honda,ridgeline rtl-e,2021,14442,gasoline,3.5l,manual,white,beige,No,38500
mercedes-benz,clk-class 500 cabriolet,2005,64000,gasoline,5.0l,manual,silver,black,No,12995
lexus,gx 470 base,2004,154000,gasoline,4.7l,manual,white,beige,Yes,10000
lexus,nx 200t base,2015,54000,gasoline,2.0l,manual,white,black,No,27000
maserati,ghibli s q4 gransport,2020,25721,gasoline,3.0l,automatic,blu,nero,No,52645
land,rover discovery sport se r-dynamic,2020,20927,gasoline,3.5l,automatic,fuji white,black,No,35998
audi,q3 45 s line premium,2022,9325,gasoline,2.0l,automatic,mythos black metallic,black,No,33610
ford,explorer xlt,2020,61001,gasoline,2.3l,automatic,gray,ebony,Yes,28616
mercedes-benz,amg glc 63 base 4matic,2018,71962,gasoline,4.0l,manual,white,black,No,46900
subaru,brz premium,2023,5800,gasoline,2.4l,manual,black,black,No,29990
bmw,640 i,2016,40080,gasoline,3.0l,manual,black,black,No,28499
kia,stinger gt2,2020,57000,gasoline,3.3l,manual,black,red,Yes,36500
chevrolet,bolt euv premier,2022,7624,electric,3.5l,automatic,mosaic black metallic,jet black,No,31985
subaru,forester 2.5 xt,2004,122000,gasoline,2.5l,manual,gold,black,Yes,9999
kia,sportage x-pro,2023,459,gasoline,2.5l,automatic,jungle green,black,No,36998
bmw,m4 base,2016,62500,gasoline,3.0l,manual,black,orange,Yes,40500
hyundai,equus signature,2013,72000,gasoline,5.0l,manual,silver,black,No,17500
mercedes-benz,amg e 53 4matic,2020,8375,gasoline,3.5l,automatic,black,black,No,69900
bmw,m550 i xdrive,2020,40000,gasoline,4.4l,manual,blue,black,No,53000
subaru,impreza wrx sti,2014,77000,gasoline,2.5l,manual,gray,black,Yes,30000
mazda,mazda6 grand touring,2020,35902,gasoline,2.5l,automatic,deep crystal blue mica,black,No,22966
hyundai,veloster base,2013,800,gasoline,1.6l,manual,black,gray,No,9800
land,rover defender x-dynamic se,2023,6204,hybrid,3.5l,automatic,eiger grey,black,No,79998
kia,telluride sx,2020,69185,gasoline,3.8l,automatic,ebony black,gray,No,37405
maserati,granturismo sport,2015,45000,gasoline,4.7l,manual,black,black,No,41900
bmw,540 i xdrive,2020,37426,gasoline,3.5l,automatic,white,black,No,39998
infiniti,m56 base,2011,137000,gasoline,5.6l,manual,gray,brown,Yes,8500
mazda,mazda3 s grand touring,2016,85000,black,3.5l,manual,black,black,Yes,18500
chevrolet,corvette stingray w/1lt,2023,4000,gasoline,6.2l,manual,black,red,Yes,73900
audi,q5 s line premium plus,2023,4648,hybrid,3.5l,automatic,mythos black,black,No,47598
lexus,gx 460 base,2018,52100,gasoline,4.6l,manual,white,beige,No,38000
bmw,x1 sdrive28i,2014,50100,gasoline,2.0l,manual,brown,beige,No,10795
alfa,romeo stelvio ti,2020,41000,gasoline,2.0l,manual,white,black,No,32400
ram,1500 big horn,2021,70968,gasoline,5.7l,manual,black,black,No,34000
bmw,m4 base,2015,26600,gasoline,3.0l,manual,white,black,No,53000
tesla,model x long range,2022,15443,electric,3.5l,manual,red,black,No,84500
volvo,s90 t5 momentum,2018,95000,gasoline,2.0l,manual,white,beige,No,18000
subaru,impreza wrx sti,2005,94000,gasoline,2.5l,manual,black,blue,No,19500
bmw,x6 xdrive40i,2020,45076,gasoline,3.5l,automatic,blue,black,No,57998
cadillac,cts 2.0l turbo luxury,2014,110000,gasoline,2.0l,manual,gold,beige,No,11000
land,rover discovery sport hse,2016,49083,gasoline,2.0l,automatic,indus silver,ebony,No,21590
genesis,g90 5.0 ultimate,2017,63500,gasoline,5.0l,manual,silver,black,No,27500
mercedes-benz,clk-class clk 350,2009,21500,gasoline,3.5l,manual,black,black,Yes,18000
kia,optima ex,2019,68166,gasoline,1.6l,automatic,ebony black,black,No,20818
toyota,highlander se,2018,53607,gasoline,3.5l,automatic,midnight black metallic,black,Yes,31853
mercedes-benz,sprinter 4500 high roof,2019,16813,diesel,3.0l,manual,gray,black,Yes,45900
bmw,x1 xdrive28i,2020,18200,gasoline,2.0l,manual,white,beige,Yes,29500
audi,s3 2.0t tech premium plus,2018,16400,gasoline,2.0l,manual,blue,red,No,42800
toyota,tundra hybrid trd pro,2022,7000,hybrid,3.4l,manual,orange,black,No,75500
audi,sq5 3.0t premium plus,2022,8497,gasoline,3.0l,automatic,ibis white,black,No,52900
audi,a6 2.0t premium plus,2016,68000,gasoline,2.0l,manual,white,black,Yes,20000
bmw,328 xi,2007,83000,gasoline,3.0l,manual,black,brown,No,8995
audi,sq5 3.0t prestige,2018,25000,gasoline,3.0l,manual,gray,black,No,50000
bmw,m235 i,2014,125450,gasoline,3.0l,manual,blue,black,No,17200
kia,telluride sx,2023,9822,gasoline,3.8l,automatic,midnight black,gray,No,50998
chevrolet,express 3500 base,2008,144000,gasoline,6.0l,manual,white,gray,No,22000
